Location,Time (UTC),Description,Minimum Temperature (°C),Maximum Temperature (°C),Wind Speed (m/s),Rain Accumulation (cm),Snow Accumulation (cm)
Kokomo,2019-05-20 06:00:00+00,clear sky,12.73,14.49,5.25,0,0
Kokomo,2019-05-20 09:00:00+00,clear sky,11.02,12.19,4.87,0,0
Kokomo,2019-05-20 12:00:00+00,scattered clouds,10.01,10.59,6.12,0,0
Kokomo,2019-05-20 15:00:00+00,clear sky,11.79,11.79,5.58,0,0
Kokomo,2019-05-20 18:00:00+00,clear sky,15.18,15.18,5.34,0,0
Kokomo,2019-05-20 21:00:00+00,overcast clouds,13.7,13.7,5.05,0,0
Kokomo,2019-05-21 00:00:00+00,overcast clouds,11.45,11.45,4.73,0,0
Kokomo,2019-05-21 03:00:00+00,few clouds,7.87,7.87,2.36,0,0
Kokomo,2019-05-21 06:00:00+00,scattered clouds,6.65,6.65,2.72,0,0
Kokomo,2019-05-21 09:00:00+00,overcast clouds,6.25,6.25,3.04,0,0
Kokomo,2019-05-21 12:00:00+00,overcast clouds,7.45,7.45,3.96,0,0
Kokomo,2019-05-21 15:00:00+00,light rain,9.52,9.52,5.98,0.125,0
Kokomo,2019-05-21 18:00:00+00,light rain,14.24,14.24,4.99,0.063,0
Kokomo,2019-05-21 21:00:00+00,overcast clouds,16.59,16.59,7.1,0,0
Kokomo,2019-05-22 00:00:00+00,overcast clouds,15.54,15.54,7.74,0,0
Kokomo,2019-05-22 03:00:00+00,overcast clouds,13.65,13.65,9.45,0,0
Kokomo,2019-05-22 06:00:00+00,overcast clouds,13.96,13.96,8.75,0,0
Kokomo,2019-05-22 09:00:00+00,moderate rain,12.76,12.76,6.34,7.875,0
Kokomo,2019-05-22 12:00:00+00,moderate rain,13.45,13.45,7.23,3.563,0
Kokomo,2019-05-22 15:00:00+00,light rain,16.8,16.8,5.99,1.375,0
Kokomo,2019-05-22 18:00:00+00,light rain,22.55,22.55,6.25,0.063,0
Kokomo,2019-05-22 21:00:00+00,overcast clouds,27.25,27.25,5.92,0,0
Kokomo,2019-05-23 00:00:00+00,broken clouds,24.92,24.92,4.42,0,0
Kokomo,2019-05-23 03:00:00+00,broken clouds,21.85,21.85,5.89,0,0
Kokomo,2019-05-23 06:00:00+00,broken clouds,21.25,21.25,5.33,0,0
Kokomo,2019-05-23 09:00:00+00,light rain,20.99,20.99,4.03,0.438,0
Kokomo,2019-05-23 12:00:00+00,light rain,22.04,22.04,5.21,0.062,0
Kokomo,2019-05-23 15:00:00+00,light rain,26.76,26.76,6.12,0.188,0
Kokomo,2019-05-23 18:00:00+00,light rain,27.76,27.76,8.47,2.124,0
Kokomo,2019-05-23 21:00:00+00,light rain,28.62,28.62,6.58,1.312,0
Kokomo,2019-05-24 00:00:00+00,overcast clouds,26.8,26.8,2.95,0,0
Kokomo,2019-05-24 03:00:00+00,light rain,22.99,22.99,3.26,0.875,0
Kokomo,2019-05-24 06:00:00+00,light rain,21.93,21.93,3.54,0.25,0
Kokomo,2019-05-24 09:00:00+00,broken clouds,21.03,21.03,3.51,0,0
Kokomo,2019-05-24 12:00:00+00,light rain,22.05,22.05,5.05,1,0
Kokomo,2019-05-24 15:00:00+00,overcast clouds,26.49,26.49,4.52,0,0
Kokomo,2019-05-24 18:00:00+00,overcast clouds,29.75,29.75,5.56,0,0
